#{"t_start": 1764624546.179369, "env_id": "None"}
r,l,t
567.8,184,0.59297
588.0,206,0.628781
245.0,197,0.661223
819.9,227,0.698739
747.6,260,0.741925
490.1,198,0.773818
404.0,197,0.805472
489.3,200,0.837565
395.8,220,0.873031
484.5,218,1.293355
503.3,223,1.329535
319.9,219,1.364823
538.1,217,1.399659
593.6,221,1.43581
321.1,203,1.468826
330.5,209,1.502861
1064.8,218,1.537926
1051.6,214,1.572437
664.9,195,1.604172
562.8,197,1.955302
399.8,206,1.988091
399.4,187,2.017777
643.7,168,2.044987
564.0,203,2.077482
724.4,227,2.113629
558.8,189,2.144238
484.9,175,2.172397
804.7,180,2.201505
642.3,198,2.233259
406.4,203,2.585634
721.4,169,2.612887
798.5,195,2.644209
566.6,191,2.67482
561.0,178,2.703322
412.6,188,2.733203
884.8,210,2.766619
239.4,203,2.799698
416.6,175,2.827645
563.8,208,2.860987
730.8,207,2.895508
252.6,159,3.237401
335.7,198,3.26949
421.2,171,3.297219
570.0,195,3.328829
237.2,173,3.356686
676.3,149,3.380597
314.3,178,3.409331
404.0,174,3.437802
395.4,174,3.465892
484.1,167,3.492538
888.2,195,3.524047
665.1,166,3.550653
646.3,174,3.897231
403.4,151,3.921406
159.7,156,3.946449
408.0,151,3.970473
1041.8,148,3.993887
804.9,165,4.020871
604.8,180,4.050386
410.0,167,4.081271
728.2,181,4.114422
409.2,170,4.14366
731.4,174,4.172441
414.8,148,4.197062
825.7,150,4.567425
802.1,159,4.592874
407.2,171,4.620703
502.1,170,4.647619
398.0,146,4.670609
404.4,167,4.696954
881.4,155,4.721424
571.8,158,4.746905
483.7,166,4.773619
566.6,140,4.795861
559.4,160,4.821411
409.2,162,4.847809
561.2,159,4.873348
330.3,185,5.224698
409.4,158,5.25024
770.2,166,5.276837
403.8,147,5.300163
883.0,161,5.325855
655.7,158,5.350987
725.6,177,5.379247
159.1,169,5.406165
490.1,163,5.432638
407.6,171,5.459927
490.9,169,5.487741
